Stopword;Language;English translation;Needed in your language;Remove it from my language stopword list;Why? English comment/translation
mein;GERMAN;my;;;
meine;GERMAN;;;;
meinem;GERMAN;;;;
meinen;GERMAN;;;;
meiner;GERMAN;;;;
meines;GERMAN;;;;
mit;GERMAN;with;;;
muss;GERMAN;must;;;
musste;GERMAN;had to;;;
nach;GERMAN;to(wards);;;
nicht;GERMAN;not;;;
nichts;GERMAN;nothing;;;
noch;GERMAN;still, yet;;;
nun;GERMAN;now;;;
nur;GERMAN;only;;;
ob;GERMAN;whether;;;
oder;GERMAN;or;;;
ohne;GERMAN;without;;;
sehr;GERMAN;very;;;
sein;GERMAN;his;yes;;means breast
seine;GERMAN;;yes;;place name and name of a river
seinem;GERMAN;;;;
seinen;GERMAN;;;;
seiner;GERMAN;;;;
seines;GERMAN;;;;
selbst;GERMAN;self;;;
sich;GERMAN;herself;;;
sie;GERMAN;they, she;;;
ihnen;GERMAN;to them;;;
sind;GERMAN;are;;;
so;GERMAN;so;;;
solche;GERMAN;such;;;
solchem;GERMAN;;;;
solchen;GERMAN;;;;
solcher;GERMAN;;;;
solches;GERMAN;;;;
soll;GERMAN;shall;;;
sollte;GERMAN;should;;;
sondern;GERMAN;but;;;
sonst;GERMAN;else;;;
über;GERMAN;over;;;
um;GERMAN;about, around;;;
und;GERMAN;and;;;
uns;GERMAN;us;;;
unse;GERMAN;;;;
unsem;GERMAN;;;;
unsen;GERMAN;;;;
unser;GERMAN;;;;
unses;GERMAN;;;;
unter;GERMAN;under;;;
viel;GERMAN;much;;;
vom;GERMAN;von + dem;;;
von;GERMAN;from;;;
